session_id,session_title,session_type,unit_id,resource_type
01ae26a42d1b4c12a42fb079135c1a94,Coding Practice,PRACTICE,8edda04c-f19d-43d6-b701-4db10b1277aa,LP_RESOURCE
02d8f931510e4a76aba8c064b2e9fe8c,Matrix Multiplication,LECTURE,b7c83a10-36d6-4564-929c-79e15b4d5ac8,LP_RESOURCE
087262d474324e6a8297c91e9a70f97b,MCQ Practice,PRACTICE,null,null
0adc98d8246445df9f572b7030ade456,Tenses Present Simple 3: Daily Practice,PRACTICE,b14550a4-5013-4576-aae3-48ac6ad33d6e,LP_RESOURCE
0bfdd5761df448c3ad7e34b9115098ea,Function Call Stack & Recursion,LECTURE,af8ba814-02d8-4022-affb-bc8c78577700,LP_QUIZ
0c73f2dbcac04aa08c656172aab68578,Working with Dates & Times,LECTURE,c48be6fe-a75f-4eda-84ec-ad08c950dce4,LP_RESOURCE
0e0c4b2521b447d096f04dfc5f76997c,Tenses Possession: Daily  Practice,PRACTICE,39a68207-a705-49bb-a696-9a4f39575444,LP_RESOURCE
0f5a5964fffc411596884776ccbd078e,More CSS Selectors,LECTURE,26d1e397-775b-4a73-8ebd-13a1f87fba50,LP_QUIZ
17de525bc4424e81adc6b0247e6539df,Tenses Present Simple 1,LECTURE,38b7afcd-6f6a-482c-b82f-01c8e8f58273,LP_QUIZ
1971a3f2a056408aac4cd29932ad9e2b,Percentages 2,LECTURE,f906b55e-ef68-4618-bb36-f18fe944a85a,LP_RESOURCE
1dc61de2d2654422ab1507a97e4ca663,Banner Section,LECTURE,51a6ce2e-1d9e-406e-b5cc-9f98ad5da4c6,LP_RESOURCE
1e606bddfa9247fe93c9eb3e0518a30d,Scenario Revision - Past Simple: Daily Practice,PRACTICE,63465e35-c705-48f3-9eb7-716eed3d9cfa,LP_RESOURCE
268727a9f7d149259dcc07872037a599,Arithmetic Progression | Practice Set,PRACTICE,9cedaf9b-42a2-4811-9a0b-166e671112fd,LP_RESOURCE
268727a9f7d149259dcc07872037a599,Arithmetic Progression | Practice Set,PRACTICE,0f14f431-0245-4d33-9806-357128775fb4,LP_RESOURCE
27f623d9dcba42449fc2461276557932,Coding Practice,PRACTICE,17461f67-a7fd-46af-96c6-62ef30dd1e19,LP_RESOURCE
2d3610e372ed46ea82db31b25f4a2a74,Permutations,LECTURE,efa3a479-e40c-4cc9-950f-06363c0b183c,LP_QUIZ
38aafa876ae34eaeb8998d01d0314fd9,Coding Practice,PRACTICE,74ccf015-82fb-477c-a002-74ae3e8a0845,LP_RESOURCE
3a556fdce83e43868ec8d194bab97001,Advanced Prompt Engineering,LECTURE,028f50e5-f42e-4ea7-90c3-d6800e46e9cf,LP_QUIZ
3c751f7375f543c298181d618a4c7aaf,Fundamentals of Set Theory,LECTURE,0846b835-daea-4b15-8ae3-3721d5d8f1ad,LP_RESOURCE
3ff77cdc18134818895ea9178f61d79e,Matrix Applications,LECTURE,fb5d5498-4ced-4fa9-aa11-b56217c3b040,LP_RESOURCE
4127813fa4724f259fc227f8b4fa1e05,Partnerships,LECTURE,ba97e4c7-1a18-4748-a98a-a86aa2cc5427,LP_RESOURCE
4157c611bdd348cfaf70e4c3cf69dc7f,CSS Transforms,LECTURE,edbf6b8b-b775-4a07-991f-a7d7f0b25d23,LP_RESOURCE
463775965793465b9798929c727fcd69,Discount,LECTURE,11a08cab-5263-4afa-89a9-ff32089afc11,LP_QUIZ
495623d815d94c9eb21c4d4a013cd95d,Sequence of Instructions,LECTURE,6a897dfd-5ed0-4cf7-8197-04ab772e6e39,LP_QUIZ
510946954fd74c5fa62fa33cbabef1bd,Introduction to Tech,LECTURE,6f38fc48-a296-4432-a8b3-4f627d766cac,LP_QUIZ
531929cebe3c44df97532936d3f1bae3,Introduction to Generative AI,LECTURE,bdb90a13-1ed0-4be5-ab22-c3390df7bec4,LP_QUIZ
55f863afe1c3435889d3c41f60974706,"Permutations, Combinations & Probability",LECTURE,cb6d3d91-b52c-4da6-9a3f-7e00cd3c7a89,LP_RESOURCE
585e9ce2cb7e48fb8541742407a18139,Forms | Part 2,LECTURE,9d6dcc03-48dc-49e6-b56d-258d28ce0368,LP_RESOURCE
5903b355886a41ea8ec695117b6d74d2,MCQ Practice,PRACTICE,null,null
5b758c9b5a8649f2b699b32c9abeef6a,Type Conversions,LECTURE,dcc9159c-fe50-428b-8cc1-e3211b66d2ef,LP_RESOURCE
5be8b8ee70fb4c749317a19a4e2a8fa2,Tenses Present Simple 1: Daily Practice,PRACTICE,3387724e-4c1d-40f9-aba0-0fd0e36dc1ee,LP_RESOURCE
5caf4152d4d145a9813e2a670fa22a22,Introduction to CSS Box Model | Part 2,LECTURE,6e19667f-42e9-4e5c-b496-dac1894a27ab,LP_RESOURCE
60f7034901f04c5b9bde689dbce654e2,Races Practice 1,PRACTICE,c1729cc4-9589-4ffd-98f3-087c63b643ed,LP_RESOURCE
62fa96b1589745a98398e2d96cc28c46,Coding Practice,PRACTICE,4be4e2a7-d791-43c3-a298-38c62160eecf,LP_RESOURCE
68d95e845a3145659b0c52f516cb4b19,Number Systems: Octal and Hexadecimal | Practice Set,PRACTICE,50be55b0-addb-4786-9c7b-d59febf85b04,LP_RESOURCE
6e4c06ea823b4d029339ef5d304accac,CSS Positioning | Part 1,LECTURE,72a4b194-cae4-4062-8d95-534ea00dce21,LP_RESOURCE
6f858ab7c95c48a9b1b3bf622ff15353,Programming with Python,LECTURE,9567f314-fd85-4ef2-a445-6d9907337545,LP_QUIZ
73cc1e03c88e4bc9ba930d3446f07dc0,Applications in Computing: Error Detection Techniques,LECTURE,db923243-d372-469f-90fc-f2c890a12cb5,LP_QUIZ
7b4feb9eb4794f5d9358077212e0e288,Module Quiz - 4,EXAM,386962c4-17e3-4235-b7af-22de28c1c1aa,LP_QUIZ
7c370a8b0e2e45f6a9910ec6d444e7c5,Introduction to Industry Readiness,LECTURE,c088dc05-b3c7-4fb8-a12e-cf806d605d74,LP_RESOURCE
83c21d41597c4c01b39db6376bd78ba8,MCQ Practice,PRACTICE,64cf47bc-8491-42d3-a7bb-c914a031aefa,LP_RESOURCE
